case_id,test_name,test_outcome,entrypoint,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend_mode,backend,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
test_angle_wrap_and_two_input_styles__001,test_angle_wrap_and_two_input_styles,PASS,solve_q1,observations,2,2,4,4,8.142500000758446,POLYGON,4,39.5083406589872,19.7541703294936,19.754170329493604,3.552713678800501e-15,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.1756999999997788,7.082699999955366,0.031599999601894524,6.767300000319665,0.4859000000578817,0.31820000003790483,0.0006000000212225132,0.10910000037256395,0.13000000035390258,0.02479999966453761,0.028000000384054147,0.023999999939405825,0.08000000070751412
test_angle_wrap_and_two_input_styles__002,test_angle_wrap_and_two_input_styles,PASS,solve_q1,observations,2,2,4,4,3.088700000262179,POLYGON,4,39.5083406589872,19.7541703294936,19.754170329493604,3.552713678800501e-15,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.3071000001000357,0.019500000234984327,2.0663999994212645,0.027399999453336932,1.904899999317422,0.31710000075690914,0.2901999996538507,0.0006999998731771484,0.09899999986373587,0.12340000012045493,0.021699999706470408,0.02300000051036477,0.020799999219889287,0.0884000000951346
test_consistent_random_observations__001,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.1037999997352017,POLYGON,4,22.217638393864267,11.108819196932133,13.10623352407956,1.9974143271474265,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03889999970851932,2.094500000566768,0.03670000023703324,1.9160000010742806,0.6591000001208158,0.24709999979677377,0.0006999998731771484,0.08040000011533266,0.10089999977935804,0.017400000615452882,0.021699999706470408,0.024599999960628338,0.0641999995423248
test_consistent_random_observations__002,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,3.75149999945279,POLYGON,5,20.83521363032694,10.41760681516347,12.111275110271798,1.6936682951083277,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.039200000173877925,2.0459999996091938,0.05129999954078812,1.843199999711942,1.2579000003825058,0.32899999951041536,0.0004999992597731762,0.11960000028921058,0.12560000050143572,0.023399999918183312,0.02499999936844688,0.03370000013092067,0.0793999997767969
test_consistent_random_observations__003,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,4.357700000582554,POLYGON,6,30.04862541611205,15.024312708056025,16.885144174807255,1.8608314667512307,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.04780000017490238,2.9731000004176167,0.047199999244185165,2.76069999927131,0.7793000004312489,0.47199999971780926,0.0006999998731771484,0.1872000002549612,0.1830000001064036,0.030199999855540227,0.03400000059627928,0.03529999958118424,0.08549999984097667
test_consistent_random_observations__004,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.295599999750266,POLYGON,4,18.4296311073659,9.21481555368295,12.824010371268423,3.6091948175854736,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.04129999979340937,2.5696000002426445,0.05439999949885532,2.3324999992837547,1.3272999995024293,0.2764999999271822,0.0009000004865811206,0.0793999997767969,0.12429999969754135,0.0183000001925393,0.021599999854515772,0.030199999855540227,0.08090000028460054
test_consistent_random_observations__005,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.312099999675411,POLYGON,5,20.689194195656633,10.344597097828316,10.344597097828316,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.042499999835854396,2.144399999451707,0.039599999581696466,1.9627000010586926,0.6876999996165978,0.3676999995150254,0.0006000000212225132,0.12150000020483276,0.1587999995535938,0.02500000027794158,0.029400000130408444,0.030899999728717376,0.0698000012562261
test_consistent_random_observations__006,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,3.9375000005748007,POLYGON,6,19.632239331280147,9.816119665640073,9.816119665640105,3.197442310920451e-14,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03189999915775843,2.0843000002059853,0.04960000023856992,1.8787999997584848,1.2851000001319335,0.4624999992302037,0.0005000001692678779,0.17180000031657983,0.1854999991337536,0.028000000384054147,0.032300000384566374,0.0427999993917183,0.07370000184891978
test_consistent_random_observations__007,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.079500000239932,POLYGON,4,27.108856643533624,13.554428321766812,22.29074433885397,8.736316017087157,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.028499999643827323,2.077399999507179,0.03599999945436139,1.8989999998666462,0.6321000000752974,0.28329999986453913,0.0005000001692678779,0.09229999977833359,0.11280000035185367,0.025999999706982635,0.02390000008745119,0.026200000320386607,0.058200001149089076
test_consistent_random_observations__008,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,3.838300000097661,POLYGON,4,27.108856643533624,13.554428321766812,22.29074433885397,8.736316017087157,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03119999928458128,2.201000000241038,0.05069999951956561,1.9746999987546587,1.2864999998782878,0.2488999998604413,0.0006000000212225132,0.08059999981924193,0.09700000009615906,0.018400000044493936,0.021800000467919745,0.0289999998130952,0.07070000083331252
