case_id,test_name,test_outcome,entrypoint,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend_mode,backend,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
test_angle_wrap_and_two_input_styles__001,test_angle_wrap_and_two_input_styles,FAIL,solve_q1,observations,2,2,4,4,3.5337000008439645,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.08949999937613029,2.9858999987482093,0.06140000004961621,2.9056000003038207,0.3667999990284443,,,,,,,,0.09150000369118061
test_angle_wrap_and_two_input_styles__002,test_angle_wrap_and_two_input_styles,FAIL,solve_q1,observations,2,2,4,4,1.5322999988711672,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.5164000012882752,0.018900000213761814,0.5777000005764421,0.05889999920327682,0.5113000006531365,0.3268000000389293,,,,,,,,0.09249999675375875
test_consistent_random_observations__001,test_consistent_random_observations,FAIL,solve_q1,observations,3,3,6,6,1.338699999905657,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.04270000135875307,0.6936999998288229,0.07899999764049426,0.6107999997766456,0.527700000020559,,,,,,,,0.0745999986975221
test_consistent_random_observations__002,test_consistent_random_observations,FAIL,solve_q1,observations,4,4,8,8,1.4258999999583466,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03760000072361436,0.6247999990591779,0.11440000162110664,0.5262000013317447,0.6799000002501998,,,,,,,,0.0835999999253545
test_constant_constraints__001,test_constant_constraints,PASS,solve_halfplanes,halfplanes,,,1,,0.3359000002092216,EMPTY,0,,,,,,scipy_with_fraction_check,not_run_or_early_return,0.3100000012636883,,,,,,,,,,,,,0.025899998945533298
test_constant_constraints__002,test_constant_constraints,PASS,solve_halfplanes,halfplanes,,,1,,0.36840000029769726,UNBOUNDED,0,Infinity,,,,,scipy_with_fraction_check,not_run_or_early_return,0.3374999996594852,,,,,,,,,,,,,0.030900000638212077
test_contradictory_parallel_constraints__001,test_contradictory_parallel_constraints,PASS,solve_halfplanes,halfplanes,,,2,2,0.772299999880488,EMPTY,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.3028999999514781,,0.4165999998804182,0.0335000004270114,0.37230000089039095,,,,,,,,,0.052800000048591755
test_document_three_observations__001,test_document_three_observations,FAIL,solve_q1,observations,3,3,6,6,1.2103999997634673,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.026100000468431972,0.5400000009103678,0.08820000039122533,0.46020000081625767,0.5808000005345093,,,,,,,,0.06349999785015825
test_document_two_observations__001,test_document_two_observations,FAIL,solve_q1,observations,2,2,4,4,0.9079000010387972,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02390000008745119,0.5065000004833564,0.043199999709031545,0.44379999962984584,0.3287999988970114,,,,,,,,0.0487000015709782
test_duplicate_and_permutation__001,test_duplicate_and_permutation,PASS,solve_q1,observations,2,2,4,4,1.0551000013947487,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.024199998733820394,0.5958000001555774,0.05140000030223746,0.5295999999361811,0.3856999992422061,,,,,,,,0.049400003263144754
test_duplicate_and_permutation__002,test_duplicate_and_permutation,PASS,solve_q1,observations,4,2,8,4,0.9319000000687083,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.0320999988616677,0.5106999997224193,0.050999999075429514,0.4486999987420859,0.33179999991261866,,,,,,,,0.05730000157200266
test_empty_observation_intersection__001,test_empty_observation_intersection,PASS,solve_q1,observations,2,2,4,4,0.506899999891175,EMPTY,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03240000114601571,0.4276999989087926,0.12900000001536682,0.2889000006689457,,,,,,,,,0.046799999836366624
