case_id,group,repeat,test_outcome,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,case_wall_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend,audit_max_residual_m,checks,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
circle_boundary_inside,coverage_boundary,1,PASS,halfplanes,,,3,3,3.0366000000867643,594.8284000005515,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,,,,,,,,,,,,3.0366000000867643
circle_boundary_on,coverage_boundary,1,PASS,halfplanes,,,3,3,2.9828999995515915,547.5956000000224,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,,,,,,,,,,,,2.9828999995515915
circle_boundary_outside_within_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,3.0167000004439615,604.6458000000712,POLYGON,3,2.0,1.0,1.0000005,5.00000000069889e-07,True,scipy_highs_with_fraction_check,0.0,,,,,,,,,,,,,,,3.0167000004439615
circle_boundary_outside_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,3.1185999996523606,589.173700000174,POLYGON,3,2.0,1.0,1.00005,5.0000000000105516e-05,False,scipy_highs_with_fraction_check,0.0,,,,,,,,,,,,,,,3.1185999996523606
thin_rectangle_0.001,degeneracy,1,PASS,halfplanes,,,4,4,3.086599999733153,568.6535999993794,POLYGON,4,1.000000499999875,0.5000002499999375,0.5000002499999375,0.0,True,scipy_highs_with_fraction_check,0.0,,,,,,,,,,,,,,,3.086599999733153
thin_rectangle_1e-07,degeneracy,1,PASS,halfplanes,,,4,4,3.160599999318947,678.7917999999991,POLYGON,4,1.000000000000005,0.5000000000000026,0.5000000000000026,0.0,True,scipy_highs_with_fraction_check,0.0,,,,,,,,,,,,,,,3.160599999318947
thin_rectangle_1e-10,degeneracy,1,PASS,halfplanes,,,4,4,3.351199999997334,580.8311999999205,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,,,,,,,,,,,,,,,3.351199999997334
thin_rectangle_1e-12,degeneracy,1,PASS,halfplanes,,,4,4,3.4469000001990935,620.1700999999957,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,,,,,,,,,,,,,,,3.4469000001990935
exact_segment,degeneracy,1,PASS,halfplanes,,,4,4,2.8868000008515082,577.4494999996023,SEGMENT,2,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,,,,,,,,,,,,2.8868000008515082
exact_point,degeneracy,1,PASS,halfplanes,,,4,4,3.134900000077323,476.1702999994668,POINT,1,0.0,0.0,0.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,,,,,,,,,,,,3.134900000077323
