case_id,test_name,test_outcome,entrypoint,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend_mode,backend,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
test_angle_wrap_and_two_input_styles__001,test_angle_wrap_and_two_input_styles,FAIL,solve_q1,observations,2,2,4,4,2.9595000014523976,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.07040000127744861,2.4551999995310325,0.05720000081055332,2.3758000006637303,0.36100000033911783,,,,,,,,0.0729000003047986
test_angle_wrap_and_two_input_styles__002,test_angle_wrap_and_two_input_styles,FAIL,solve_q1,observations,2,2,4,4,1.606200001333491,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.3968999990320299,0.023799999326001853,0.6930999988981057,0.07549999827460852,0.6061999993107747,0.37989999873389024,,,,,,,,0.11250000534346327
test_consistent_random_observations__001,test_consistent_random_observations,FAIL,solve_q1,observations,3,3,6,6,1.254799999514944,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.035000000934815034,0.6280999987211544,0.07749999895168003,0.5462999997689622,0.5282000001898268,,,,,,,,0.06349999966914766
test_consistent_random_observations__002,test_consistent_random_observations,FAIL,solve_q1,observations,4,4,8,8,1.3744999996561091,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.04410000110510737,0.5968000004941132,0.11310000081721228,0.49450000005890615,0.6542999999510357,,,,,,,,0.07929999810585286
test_constant_constraints__001,test_constant_constraints,PASS,solve_halfplanes,halfplanes,,,1,,0.3025999994861195,EMPTY,0,,,,,,scipy_with_fraction_check,not_run_or_early_return,0.278499999694759,,,,,,,,,,,,,0.02409999979136046
test_constant_constraints__002,test_constant_constraints,PASS,solve_halfplanes,halfplanes,,,1,,0.3833999999187654,UNBOUNDED,0,Infinity,,,,,scipy_with_fraction_check,not_run_or_early_return,0.35089999983028974,,,,,,,,,,,,,0.032500000088475645
test_contradictory_parallel_constraints__001,test_contradictory_parallel_constraints,PASS,solve_halfplanes,halfplanes,,,2,2,0.7029999997030245,EMPTY,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.2829999993991805,,0.3710000000864966,0.03340000148455147,0.3265999985160306,,,,,,,,,0.049000000217347406
test_document_three_observations__001,test_document_three_observations,FAIL,solve_q1,observations,3,3,6,6,1.1090000007243361,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02970000059576705,0.49699999908625614,0.08090000119409524,0.4169000003457768,0.517000000400003,,,,,,,,0.0653000006423099
test_document_two_observations__001,test_document_two_observations,FAIL,solve_q1,observations,2,2,4,4,0.9403999993082834,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02570000106061343,0.5037000009906478,0.04930000068270601,0.4402999984449707,0.36109999928157777,,,,,,,,0.04989999797544442
test_duplicate_and_permutation__001,test_duplicate_and_permutation,PASS,solve_q1,observations,2,2,4,4,0.9469000015087659,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.025499999537714757,0.49930000022868626,0.049199999921256676,0.4347000012785429,0.33400000029359944,,,,,,,,0.0881000014487654
test_duplicate_and_permutation__002,test_duplicate_and_permutation,PASS,solve_q1,observations,4,2,8,4,0.8748000000196043,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02700000004551839,0.45080000018060673,0.047999998059822246,0.3912999982276233,0.3420000011828961,,,,,,,,0.054999998610583134
test_empty_observation_intersection__001,test_empty_observation_intersection,PASS,solve_q1,observations,2,2,4,4,0.462499998320709,EMPTY,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.023299999156733975,0.3954999992856756,0.12880000031145755,0.2571000004536472,,,,,,,,,0.04369999987829942
test_invalid_inputs__001,test_invalid_inputs,PASS,solve_q1,observations,0,0,,,0.011699999959091656,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.008299999535665847,,,,,,,,,,,,0.0034000004234258085
test_invalid_inputs__002,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.011699999959091656,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.009100000170292333,,,,,,,,,,,,0.002599999788799323
test_invalid_inputs__003,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.02390000008745119,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.021300000298651867,,,,,,,,,,,,0.002599999788799323
test_invalid_inputs__004,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.020700001186924055,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.018000000636675395,,,,,,,,,,,,0.00270000055024866
test_invalid_inputs__005,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.29709999944316223,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.27999999838357326,,,,,,,,,,,,,0.017100001059588976
test_invalid_inputs__006,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.30080000033194665,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.2844000009645242,,,,,,,,,,,,,0.016399999367422424
test_invalid_inputs__007,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.2857999988918891,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.2704999988054624,,,,,,,,,,,,,0.015300000086426735
test_invalid_inputs__008,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.27719999889086466,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.26499999876250513,,,,,,,,,,,,,0.012200000128359534
test_invalid_inputs__009,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.2899999999499414,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.270799999270821,,,,,,,,,,,,,0.01920000067912042
test_lp_numerical_failure_not_unbounded__001,test_lp_numerical_failure_not_unbounded,PASS,solve_q1,observations,2,2,4,4,0.44970000089961104,NUMERICAL_ISSUE,0,,,,,,mocked_linprog,scipy_highs_with_fraction_check,,0.024599999960628338,0.05539999983739108,0.04520000220509246,0.02010000025620684,0.3197999994881684,,,,,,,,0.04990000161342323
test_lp_uses_free_variables__001,test_lp_uses_free_variables,PASS,solve_q1,observations,1,1,2,2,0.09210000098391902,UNBOUNDED,0,Infinity,,,,,mocked_linprog,scipy_highs_with_fraction_check,,0.021100000594742596,0.038800000766059384,0.012299999070819467,0.017800000932766125,,,,,,,,,0.03219999962311704
test_near_parallel_not_discarded__001,test_near_parallel_not_discarded,PASS,solve_halfplanes,halfplanes,,,3,3,0.8068999995884951,POLYGON,3,999999999999.9999,499999999999.99994,499999999999.99994,0.0,True,fraction_only,fraction_fourier_motzkin,0.29180000092310365,,0.042100000428035855,0.06489999759651255,,0.3448000006756047,0.06610000127693638,0.0006999998731771484,0.012500000593718141,0.022799998987466097,0.00540000110049732,0.0068999997893115506,0.01630000042496249,0.06209999628481455
test_negative_coordinate_square__001,test_negative_coordinate_square,PASS,solve_halfplanes,halfplanes,,,4,4,1.3746000004175585,POLYGON,4,2.8284271247461903,1.4142135623730951,1.4142135623730951,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.26819999948202167,,0.5176000013307203,0.10650000149325933,0.4336000001785578,0.3704999999172287,0.16739999955461826,0.000700001692166552,0.05109999983687885,0.06959999882383272,0.011600001016631722,0.015199999324977398,0.01739999970595818,0.05090000013296958
test_point_and_segment_direct_constraints__001,test_point_and_segment_direct_constraints,PASS,solve_halfplanes,halfplanes,,,4,4,1.1248000009800307,POINT,1,0.0,0.0,0.0,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.2773000014713034,,0.4568999993352918,0.10660000043571927,0.37399999928311445,0.3372999999555759,0.003200000719516538,0.0017000002117129043,,,,,,0.050099999498343095
test_point_and_segment_direct_constraints__002,test_point_and_segment_direct_constraints,PASS,solve_halfplanes,halfplanes,,,4,4,1.4730000002600718,SEGMENT,2,2.0,1.0,1.0,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.327899999319925,,0.5798000001959736,0.12130000141041819,0.4699000000982778,0.40240000089397654,0.09259999933419749,0.0006999998731771484,0.018599999748403206,0.04890000127488747,0.00670000008540228,0.0006999998731771484,0.015499999790336005,0.07030000051599927
test_single_observation_unbounded__001,test_single_observation_unbounded,PASS,solve_q1,observations,1,1,2,2,0.47059999997145496,UNBOUNDED,0,Infinity,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.022000000171829015,0.4150000004301546,0.01300000076298602,0.37369999881775584,,,,,,,,,0.033599999369471334
test_strip_unbounded_with_no_vertices__001,test_strip_unbounded_with_no_vertices,PASS,solve_halfplanes,halfplanes,,,2,2,0.7280999998329207,UNBOUNDED,0,Infinity,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.2653999999893131,,0.42129999928874895,0.024200000552809797,0.3654000011010794,,,,,,,,,0.04140000055485871
test_thin_polygon_not_merged_into_segment__001,test_thin_polygon_not_merged_into_segment,PASS,solve_halfplanes,halfplanes,,,4,4,0.9546000001137145,POLYGON,4,1.0,0.5,0.5,0.0,True,fraction_only,fraction_fourier_motzkin,0.2678000000742031,,0.05249999958323315,0.08730000081413891,,0.3782999992836267,0.20399999993969686,0.0005999991117278114,0.0503999999637017,0.08970000089902896,0.018400000044493936,0.02049999966402538,0.023099999452824704,0.05200000123295467
test_translation_and_rotation__001,test_translation_and_rotation,ERROR,solve_q1,observations,2,2,4,4,0.918699999601813,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02990000029967632,0.47279999853344634,0.04930000068270601,0.41400000009161886,0.3666000011435244,,,,,,,,0.04939999962516595
test_translation_and_rotation__002,test_translation_and_rotation,ERROR,solve_q1,observations,2,2,4,4,0.8566000014980091,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.023599999622092582,0.4619000010279706,0.04960000114806462,0.4017999999632593,0.32300000020768493,,,,,,,,0.04810000064026099
