case_id,test_name,test_outcome,entrypoint,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend_mode,backend,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
test_angle_wrap_and_two_input_styles__001,test_angle_wrap_and_two_input_styles,ERROR,solve_q1,observations,2,2,4,,0.3582999997888692,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.26500000058149453,0.005200000487093348,0.002600000698294025,,,,,,,,,,0.08809999872028129
test_consistent_random_observations__001,test_consistent_random_observations,ERROR,solve_q1,observations,3,3,6,,0.11840000024676556,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.0442000000475673,0.004300000000512227,0.002099999619531445,,,,,,,,,,0.06990000019868603
test_constant_constraints__001,test_constant_constraints,PASS,solve_halfplanes,halfplanes,,,1,,0.3173000004608184,EMPTY,0,,,,,,scipy_with_fraction_check,not_run_or_early_return,0.2899000000979868,,,,,,,,,,,,,0.027400000362831634
test_constant_constraints__002,test_constant_constraints,PASS,solve_halfplanes,halfplanes,,,1,,0.3161999993608333,UNBOUNDED,0,Infinity,,,,,scipy_with_fraction_check,not_run_or_early_return,0.2905000001192093,,,,,,,,,,,,,0.025699999241624027
test_contradictory_parallel_constraints__001,test_contradictory_parallel_constraints,ERROR,solve_halfplanes,halfplanes,,,2,,0.3536000003805384,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.2990000002682791,,0.004399999852466863,0.002200000380980782,,,,,,,,,,0.05020000025979243
test_document_three_observations__001,test_document_three_observations,ERROR,solve_q1,observations,3,3,6,,0.11069999982282752,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.0411000000895001,0.004300000000512227,0.0022999993234407157,,,,,,,,,,0.0652999997328152
test_document_two_observations__001,test_document_two_observations,ERROR,solve_q1,observations,2,2,4,,0.08210000032704556,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.029800000447721686,0.0036999999792897142,0.0020000006770715117,,,,,,,,,,0.04859999990003416
test_duplicate_and_permutation__001,test_duplicate_and_permutation,ERROR,solve_q1,observations,2,2,4,,0.07709999954386149,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.02609999955893727,0.0039000005926936865,0.0018999999156221747,,,,,,,,,,0.04709999939223053
test_empty_observation_intersection__001,test_empty_observation_intersection,ERROR,solve_q1,observations,2,2,4,,0.07499999992433004,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.025499999537714757,0.003600000127335079,0.0018000000636675395,,,,,,,,,,0.045900000259280205
test_invalid_inputs__001,test_invalid_inputs,PASS,solve_q1,observations,0,0,,,0.015099999473022763,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.010800000382005237,,,,,,,,,,,,0.004299999091017526
