case_id,test_name,test_outcome,entrypoint,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend_mode,backend,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
test_angle_wrap_and_two_input_styles__001,test_angle_wrap_and_two_input_styles,FAIL,solve_q1,observations,2,2,4,4,3.657700000985642,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.07280000136233866,2.7012000009563053,0.06720000055793207,2.61050000153773,0.7951999996294035,,,,,,,,0.08849999903759453
test_angle_wrap_and_two_input_styles__002,test_angle_wrap_and_two_input_styles,FAIL,solve_q1,observations,2,2,4,4,1.413699999829987,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.33879999864439014,0.020600000425474718,0.6248999998206273,0.05819999933009967,0.5532000013772631,0.3276999996160157,,,,,,,,0.10170000132347923
test_consistent_random_observations__001,test_consistent_random_observations,FAIL,solve_q1,observations,3,3,6,6,1.3335999992705183,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.0397000003431458,0.6760000014764955,0.07990000085555948,0.596199999563396,0.5492000000231201,,,,,,,,0.0686999974277569
test_consistent_random_observations__002,test_consistent_random_observations,FAIL,solve_q1,observations,4,4,8,8,1.3789000004180707,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.0289999989036005,0.6272999999055173,0.10210000073129777,0.527700000020559,0.6462000001192791,,,,,,,,0.07640000148967374
test_constant_constraints__001,test_constant_constraints,PASS,solve_halfplanes,halfplanes,,,1,,0.3142000005027512,EMPTY,0,,,,,,scipy_with_fraction_check,not_run_or_early_return,0.28220000058354344,,,,,,,,,,,,,0.03199999991920777
test_constant_constraints__002,test_constant_constraints,PASS,solve_halfplanes,halfplanes,,,1,,0.37820000034116674,UNBOUNDED,0,Infinity,,,,,scipy_with_fraction_check,not_run_or_early_return,0.340900000082911,,,,,,,,,,,,,0.03730000025825575
test_contradictory_parallel_constraints__001,test_contradictory_parallel_constraints,PASS,solve_halfplanes,halfplanes,,,2,2,0.804999999672873,EMPTY,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.3279000011389144,,0.41740000051504467,0.03550000110408291,0.37060000067867804,,,,,,,,,0.0596999980189139
test_document_three_observations__001,test_document_three_observations,FAIL,solve_q1,observations,3,3,6,6,1.13229999988107,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02789999962260481,0.5146999992575729,0.07989999903657008,0.4329999992478406,0.5271999998512911,,,,,,,,0.0625000011496013
test_document_two_observations__001,test_document_two_observations,FAIL,solve_q1,observations,2,2,4,4,0.9327999996457947,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.025899998945533298,0.5055000001448207,0.049700000090524554,0.4442999997991137,0.352399998519104,,,,,,,,0.04900000203633681
test_duplicate_and_permutation__001,test_duplicate_and_permutation,PASS,solve_q1,observations,2,2,4,4,1.0839999995368998,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.04980000085197389,0.6375999982992653,0.04799999987881165,0.5670999998983461,0.33879999864439014,,,,,,,,0.057800001741270535
test_duplicate_and_permutation__002,test_duplicate_and_permutation,PASS,solve_q1,observations,4,2,8,4,0.9547999998176238,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.031600000511389226,0.5127000003994908,0.049899999794433825,0.45119999958842527,0.3507000001263805,,,,,,,,0.05979999878036324
test_empty_observation_intersection__001,test_empty_observation_intersection,PASS,solve_q1,observations,2,2,4,4,0.5001999998057727,EMPTY,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02600000152597204,0.4276999989087926,0.1353999996354105,0.28220000058354344,,,,,,,,,0.046499999371008016
test_invalid_inputs__001,test_invalid_inputs,PASS,solve_q1,observations,0,0,,,0.014999999621068127,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.010700001439545304,,,,,,,,,,,,0.004299998181522824
test_invalid_inputs__002,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.016199999663513154,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.012599999536178075,,,,,,,,,,,,0.003600000127335079
test_invalid_inputs__003,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.03570000080799218,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.03199999991920777,,,,,,,,,,,,0.003700000888784416
test_invalid_inputs__004,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.027100000806967728,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.02370000038354192,,,,,,,,,,,,0.0034000004234258085
test_invalid_inputs__005,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.5316000006132526,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.5039000006945571,,,,,,,,,,,,,0.02769999991869554
test_invalid_inputs__006,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.4413999995449558,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.41909999890776817,,,,,,,,,,,,,0.022300000637187622
test_invalid_inputs__007,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.33350000012433156,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.3164999998261919,,,,,,,,,,,,,0.01700000029813964
test_invalid_inputs__008,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.3398000008019153,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.3262999998696614,,,,,,,,,,,,,0.013500000932253897
test_invalid_inputs__009,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.3121999998256797,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.2817999993567355,,,,,,,,,,,,,0.0304000004689442
test_lp_numerical_failure_not_unbounded__001,test_lp_numerical_failure_not_unbounded,PASS,solve_q1,observations,2,2,4,4,0.16940000023168977,NUMERICAL_ISSUE,0,,,,,,mocked_linprog,scipy_highs_with_fraction_check,,0.036100000215810724,0.0698000003467314,0.02939999831141904,0.030199998946045525,,,,,,,,,0.06349999966914766
test_lp_uses_free_variables__001,test_lp_uses_free_variables,PASS,solve_q1,observations,1,1,2,2,0.1004999994620448,UNBOUNDED,0,Infinity,,,,,mocked_linprog,scipy_highs_with_fraction_check,,0.023799999326001853,0.0411000000895001,0.012700000297627412,0.01950000114447903,,,,,,,,,0.035600000046542846
test_near_parallel_not_discarded__001,test_near_parallel_not_discarded,PASS,solve_halfplanes,halfplanes,,,3,3,1.1972000011155615,POLYGON,3,999999999999.9999,499999999999.99994,499999999999.99994,0.0,True,fraction_only,fraction_fourier_motzkin,0.3512999992381083,,0.055900000006658956,0.08369999886781443,,0.4512999985308852,0.2702999991015531,0.0008999995770864189,0.16680000044289045,0.05210000017541461,0.009299999874201603,0.011599999197642319,0.027800000680144876,0.0684000042383559
test_negative_coordinate_square__001,test_negative_coordinate_square,PASS,solve_halfplanes,halfplanes,,,4,4,1.5628000001015607,POLYGON,4,2.8284271247461903,1.4142135623730951,1.4142135623730951,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.3068000005441718,,0.6189000014273915,0.12090000200259965,0.5243000014161225,0.39680000008956995,0.1765000015439,0.0007999988156370819,0.054400001317844726,0.07379999988188501,0.011899999663000926,0.015899999198154546,0.017899999875226058,0.06379999649652746
test_point_and_segment_direct_constraints__001,test_point_and_segment_direct_constraints,PASS,solve_halfplanes,halfplanes,,,4,4,1.1692000007315073,POINT,1,0.0,0.0,0.0,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.2870999996957835,,0.5243999985395931,0.09990000035031699,0.43789999836008064,0.30159999914758373,0.0035000011848751456,0.0018999999156221747,,,,,,0.05260000216367189
test_point_and_segment_direct_constraints__002,test_point_and_segment_direct_constraints,PASS,solve_halfplanes,halfplanes,,,4,4,1.259699998627184,SEGMENT,2,2.0,1.0,1.0,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.28000000020256266,,0.5221999999776017,0.10209999709331896,0.43679999907908496,0.32019999889598694,0.0825000006443588,0.0005999991117278114,0.017899999875226058,0.04330000047048088,0.006399999620043673,0.0006000009307172149,0.012399999832268804,0.054799998906673864
test_single_observation_unbounded__001,test_single_observation_unbounded,PASS,solve_q1,observations,1,1,2,2,0.5779000002803514,UNBOUNDED,0,Infinity,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.026399999114801176,0.5153000001882901,0.013900000340072438,0.46909999946365133,,,,,,,,,0.03620000097726006
test_strip_unbounded_with_no_vertices__001,test_strip_unbounded_with_no_vertices,PASS,solve_halfplanes,halfplanes,,,2,2,0.8261000002676155,UNBOUNDED,0,Infinity,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.2863000008801464,,0.49029999900085386,0.02609999864944257,0.4316000013204757,,,,,,,,,0.049500000386615284
test_thin_polygon_not_merged_into_segment__001,test_thin_polygon_not_merged_into_segment,PASS,solve_halfplanes,halfplanes,,,4,4,0.9515999990981072,POLYGON,4,1.0,0.5,0.5,0.0,True,fraction_only,fraction_fourier_motzkin,0.27240000054007396,,0.057199998991563916,0.09470000077271834,,0.36290000025474,0.20620000032067765,0.0005000001692678779,0.05109999983687885,0.0901000003068475,0.018200000340584666,0.021699999706470408,0.023299999156733975,0.05289999899105169
test_translation_and_rotation__001,test_translation_and_rotation,ERROR,solve_q1,observations,2,2,4,4,0.9129999998549465,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.024200000552809797,0.47900000026857015,0.048999998398358,0.4208999998809304,0.36220000038156286,,,,,,,,0.047599998652003706
test_translation_and_rotation__002,test_translation_and_rotation,ERROR,solve_q1,observations,2,2,4,4,1.151200000094832,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.027100000806967728,0.5436999999801628,0.057199998991563916,0.4711999990831828,0.5238000012468547,,,,,,,,0.0565999980608467
