case_id,test_name,test_outcome,entrypoint,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend_mode,backend
test_consistent_random_observations__053,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.357300000061514,POLYGON,6,20.640998148375722,10.320499074187861,10.83522584747656,0.5147267732886984,False,scipy_with_fraction_check,scipy_highs_with_fraction_check
test_consistent_random_observations__054,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.578900001433794,POLYGON,6,19.3220843499491,9.66104217497455,9.88734038608564,0.2262982111110894,False,scipy_with_fraction_check,scipy_highs_with_fraction_check
test_consistent_random_observations__055,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.8764000000810483,POLYGON,4,26.501167804557774,13.250583902278887,13.250583902278898,1.0658141036401503e-14,True,scipy_with_fraction_check,scipy_highs_with_fraction_check
test_consistent_random_observations__056,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.047200000059092,POLYGON,5,22.805573939008273,11.402786969504136,11.402786969504136,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check
test_consistent_random_observations__057,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.427699999519973,POLYGON,6,23.313649856317966,11.656824928158983,12.642625586619552,0.985800658460569,False,scipy_with_fraction_check,scipy_highs_with_fraction_check
test_consistent_random_observations__058,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.181199999948149,POLYGON,6,17.74052334003286,8.87026167001643,9.003924806230152,0.13366313621372328,False,scipy_with_fraction_check,scipy_highs_with_fraction_check
test_consistent_random_observations__059,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.69450000107463,POLYGON,6,24.78525038879993,12.392625194399965,16.236553279870343,3.8439280854703775,False,scipy_with_fraction_check,scipy_highs_with_fraction_check
test_consistent_random_observations__060,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,3.8615999983449,POLYGON,4,18.306402758889053,9.153201379444527,11.216273141037888,2.0630717615933616,False,scipy_with_fraction_check,scipy_highs_with_fraction_check
test_consistent_random_observations__061,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.475899999102694,POLYGON,5,19.613576799317446,9.806788399658723,11.905041925636667,2.0982535259779436,False,scipy_with_fraction_check,scipy_highs_with_fraction_check
test_consistent_random_observations__062,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.015300000901334,POLYGON,6,19.613576799317446,9.806788399658723,11.905041925636667,2.0982535259779436,False,scipy_with_fraction_check,scipy_highs_with_fraction_check
